exp,tx,replicate,time_min,isc_uA_per_cm2
exp19-35,ctrl25_10uM_vx770_vx809,r1,9.8,-0.128173828
exp19-35,ctrl25_10uM_vx770_vx809,r1,9.883333333,-0.012207031
exp19-35,ctrl25_10uM_vx770_vx809,r1,9.966666667,-0.067138672
exp19-35,ctrl25_10uM_vx770_vx809,r1,10.05,-0.137329101
exp19-35,ctrl25_10uM_vx770_vx809,r1,10.13333333,-0.137329101
exp19-35,ctrl25_10uM_vx770_vx809,r1,10.21666667,0.006103516
exp19-35,ctrl25_10uM_vx770_vx809,r1,10.3,0.14038086
exp19-35,ctrl25_10uM_vx770_vx809,r1,10.38333333,-0.103759765
exp19-35,ctrl25_10uM_vx770_vx809,r1,10.46666667,0
exp19-35,ctrl25_10uM_vx770_vx809,r1,10.55,-0.045776367
exp19-35,ctrl25_10uM_vx770_vx809,r1,10.63333333,-0.064086914
exp19-35,ctrl25_10uM_vx770_vx809,r1,10.71666667,-0.061035156
exp19-35,ctrl25_10uM_vx770_vx809,r1,10.8,-0.15258789
exp19-35,ctrl25_10uM_vx770_vx809,r1,10.88333333,-0.012207031
exp19-35,ctrl25_10uM_vx770_vx809,r1,10.96666667,-0.070190429
exp19-35,ctrl25_10uM_vx770_vx809,r1,11.05,0.061035156
exp19-35,ctrl25_10uM_vx770_vx809,r1,11.13333333,-0.082397461
exp19-35,ctrl25_10uM_vx770_vx809,r1,11.21666667,-0.073242187
exp19-35,ctrl25_10uM_vx770_vx809,r1,11.3,-0.079345703
exp19-35,ctrl25_10uM_vx770_vx809,r1,11.38333333,-0.067138672
exp19-35,ctrl25_10uM_vx770_vx809,r1,11.46666667,-0.082397461
exp19-35,ctrl25_10uM_vx770_vx809,r1,11.55,-0.106811523
exp19-35,ctrl25_10uM_vx770_vx809,r1,11.63333333,-0.128173828
exp19-35,ctrl25_10uM_vx770_vx809,r1,11.71666667,-0.076293945
exp19-35,ctrl25_10uM_vx770_vx809,r1,11.8,-0.167846679
exp19-35,ctrl25_10uM_vx770_vx809,r1,11.9,-0.076293945
exp19-35,ctrl25_10uM_vx770_vx809,r1,11.98333333,-0.024414062
exp19-35,ctrl25_10uM_vx770_vx809,r1,12.06666667,-0.122070312
exp19-35,ctrl25_10uM_vx770_vx809,r1,12.15,-0.088500976
exp19-35,ctrl25_10uM_vx770_vx809,r1,12.23333333,-0.070190429
exp19-35,ctrl25_10uM_vx770_vx809,r1,12.31666667,-0.067138672
exp19-35,ctrl25_10uM_vx770_vx809,r1,12.4,-0.085449219
